,First Name,LastName_x,Data_y,Data1
0,Rashid,Khan,R Khan,R Khan
1,Hardik,Pandya,H Pandya,H Pandya
2,Lockie,Ferguson,L Ferguson,L Ferguson
3,Rahul,Tewatia,R Tewatia,R Tewatia
4,Shubman,Gill,S Gill,S Gill
5,Mohammad,Shami,M Shami,M Shami
6,Yash,Dayal,,
7,David,Miller,D Miller,D Miller
8,R.,Sai,,
9,Abhinav,Sadarangani,,
10,Matthew,Wade,,
11,Alzarri,Joseph,A Joseph,A Joseph
12,Jason,Roy,J Roy,J Roy
13,Wriddhiman,Saha,W Saha,W Saha
14,Jayant,Yadav,J Yadav,J Yadav
15,Vijay,Shankar,V Shankar,V Shankar
16,Dominic,Drakes,,
17,Varun,Aaron,V Aaron,V Aaron
18,Gurkeerat,Singh,G Singh,G Singh
19,Noor,Ahmad,,
20,Darshan,Nalkande,,
21,Pradeep,Sangwan,P Sangwan,P Sangwan
22,Ravindra,Jadeja,R Jadeja,R Jadeja
23,Deepak,Chahar,D Chahar,D Chahar
24,MS,Dhoni,M Dhoni,M Dhoni
25,Moeen,Ali,M Ali,M Ali
26,Ambati,Rayudu,A Rayudu,A Rayudu
27,Ruturaj,Gaikwad,R Gaikwad,R Gaikwad
28,Dwayne,Bravo,D Bravo,D Bravo
29,Dwayne,Bravo,D Bravo,D Bravo
30,Shivam,Dube,S Dube,S Dube
31,Chris,Jordan,C Jordan,C Jordan
32,Robin,Uthappa,R Uthappa,R Uthappa
33,Mitchell,Santner,M Santner,M Santner
34,Adam,Milne,A Milne,A Milne
35,Rajvardhan,Hangargekar,,
36,Prashant,Solanki,,
37,Devon,Conway,,
38,Maheesh,Theekshana,,
39,Dwaine,Pretorius,,
40,K.Bhagath,Varma,,
41,Simarjeet,Singh,S Singh,S Singh
42,N.,Jagadeesan,N Jagadeesan,N Jagadeesan
43,C.Hari,Nishaanth,,
44,K.M.,Asif,K Asif,K Asif
45,Tushar,Deshpande,T Deshpande,T Deshpande
46,Subhranshu,Senapati,,
47,Mukesh,Choudhary,,
48,Rishabh,Pant,R Pant,R Pant
49,Shardul,Thakur,S Thakur,S Thakur
50,Axar,Patel,A Patel,A Patel
51,Prithvi,Shaw,P Shaw,P Shaw
52,Mitchell,Marsh,M Marsh,M Marsh
53,Anrich,Nortje,A Nortje,A Nortje
54,David,Warner,D Warner,D Warner
55,Syed,Khaleel,S Ahmed,S Ahmed
56,Chetan,Sakariya,,
57,Rovman,Powell,,
58,K.S.,Bharat,,
59,Mustafizur,Rahman,M Rahman,M Rahman
60,Mustafizur,Rahman,M Rahman,M Rahman
61,Kuldeep,Yadav,K Yadav,K Yadav
62,Kamlesh,Nagarkoti,K Nagarkoti,K Nagarkoti
63,Mandeep,Singh,M Singh,M Singh
64,Lalit,Yadav,,
65,Tim,Seifert,,
66,Pravin,Dubey,P Dubey,P Dubey
67,Lungisani,Ngidi,L Ngidi,L Ngidi
68,Yash,Dhull,,
69,Ashwin,Hebbar,,
70,Sarfaraz,Khan,S Khan,S Khan
71,Ripal,Patel,,
72,Vicky,Ostwal,,
73,Shreyas,Iyer,S Iyer,S Iyer
74,Andre,Russell,A Russell,A Russell
75,Nitish,Rana,N Rana,N Rana
76,Venkatesh,Iyer,,
77,Varun,Chakaravarthy,,
78,Pat,Cummins,P Cummins,P Cummins
79,Shivam,Mavi,S Mavi,S Mavi
80,Sunil,Narine,S Narine,S Narine
81,Sam,Billings,S Billings,S Billings
82,Umesh,Yadav,U Yadav,U Yadav
83,Tim,Southee,T Southee,T Southee
84,Alex,Hales,A Hales,A Hales
85,Ajinkya,Rahane,A Rahane,A Rahane
86,Mohammad,Nabi,M Nabi,M Nabi
87,Sheldon,Jackson,S Jackson,S Jackson
88,Rinku,Singh,R Singh,R Singh
89,Rinku,Singh,R Singh,R Singh
90,Ashok,Sharma,A Sharma,A Sharma
91,Ashok,Sharma,A Sharma,A Sharma
92,Chamika,Karunaratne,,
93,Abhijeet,Tomar,,
94,Rasikh,Dar,,
95,Anukul,Roy,A Roy,A Roy
96,Baba,Indrajith,,
97,Aman,Khan,A Khan,A Khan
98,Ramesh,Kumar,R Kumar,R Kumar
99,Pratham,Singh,P Singh,P Singh
100,Mayank,Agarwal,M Agarwal,M Agarwal
101,Liam,Livingstone,L Livingstone,L Livingstone
102,Kagiso,Rabada,K Rabada,K Rabada
103,Shahrukh,Khan,S Khan,S Khan
104,Shikhar,Dhawan,S Dhawan,S Dhawan
105,Jonny,Bairstow,J Bairstow,J Bairstow
106,Odean,Smith,,
107,Rahul,Chahar,R Chahar,R Chahar
108,Arshdeep,Singh,A Singh,A Singh
109,Arshdeep,Singh,A Singh,A Singh
110,Harpreet,Brar,H Brar,H Brar
111,Vaibhav,Arora,,
112,Raj,Angad,,
113,Nathan,Ellis,,
114,Prabhsimran,Singh,P Singh,P Singh
115,Rishi,Dhawan,R Dhawan,R Dhawan
116,Sandeep,Sharma,S Sharma,S Sharma
117,Sandeep,Sharma,S Sharma,S Sharma
118,Bhanuka,Rajapaksa,,
119,Benny,Howell,,
120,Ishan,Porel,,
121,Prerak,Mankad,,
122,Ansh,Patel,A Patel,A Patel
123,Jitesh,Sharma,,
124,Writtick,Chatterjee,,
125,Atharva,Taide,,
126,Baltej,Dhanda,,
127,KL,Rahul,K Rahul,K Rahul
128,Avesh,Khan,A Khan,A Khan
129,Marcus,Stoinis,M Stoinis,M Stoinis
130,Jason,Holder,J Holder,J Holder
131,Krunal,Pandya,K Pandya,K Pandya
132,Mark,Wood,M Wood,M Wood
133,Quinton,De,Q Kock,Q Kock
134,Deepak,Hooda,D Hooda,D Hooda
135,Manish,Pandey,M Pandey,M Pandey
136,Ravi,Bishnoi,R Bishnoi,R Bishnoi
137,Dushmanta,Chameera,,
138,Evin,Lewis,E Lewis,E Lewis
139,K.,Gowtham,K Gowtham,K Gowtham
140,Kyle,Mayers,,
141,Shahbaz,Nadeem,S Nadeem,S Nadeem
142,Ankit,Singh,A Rajpoot,A Rajpoot
143,Manan,Vohra,M Vohra,M Vohra
144,B.,Sai,,
145,Karan,Sharma,K Sharma,K Sharma
146,Ayush,Badoni,,
147,Mohsin,Khan,,
148,Mayank,Yadav,,
149,Rohit,Sharma,R Sharma,R Sharma
150,Ishan,Kishan,I Kishan,I Kishan
151,Jasprit,Bumrah,J Bumrah,J Bumrah
152,Tim,David,,
153,Jofra,Archer,J Archer,J Archer
154,Suryakumar,Yadav,S Yadav,S Yadav
155,Kieron,Pollard,K Pollard,K Pollard
156,Dewald,Brevis,,
157,Daniel,Sams,D Sams,D Sams
158,N.,Tilak,,
159,Murugan,Ashwin,M Ashwin,M Ashwin
160,Tymal,Mills,T Mills,T Mills
161,Jaydev,Unadkat,J Unadkat,J Unadkat
162,Riley,Meredith,,
163,Fabian,Allen,,
164,Mayank,Markande,M Markande,M Markande
165,Sanjay,Yadav,S Yadav,S Yadav
166,Arjun,Tendulkar,,
167,Basil,Thampi,B Thampi,B Thampi
168,Anmolpreet,Singh,A Singh,A Singh
169,Anmolpreet,Singh,A Singh,A Singh
170,Aryan,Juyal,,
171,Ramandeep,Singh,R Singh,R Singh
172,Ramandeep,Singh,R Singh,R Singh
173,Rahul,Buddhi,,
174,Hrithik,Shokeen,,
175,Mohd.,Arshad,,
176,Virat,Kohli,V Kohli,V Kohli
177,Glenn,Maxwell,G Maxwell,G Maxwell
178,Wanindu,Hasaranga,,
179,Harshal,Patel,H Patel,H Patel
180,Josh,Hazlewood,J Hazlewood,J Hazlewood
181,Faf,Du,F Plessis,F Plessis
182,Mohammed,Siraj,M Siraj,M Siraj
183,Dinesh,Karthik,,
184,Anuj,Rawat,,
185,Shahbaz,Ahamad,,
186,David,Willey,D Willey,D Willey
187,Sherfane,Rutherford,S Rutherford,S Rutherford
188,Mahipal,Lomror,M Lomror,M Lomror
189,Finn,Allen,,
190,Siddharth,Kaul,S Kaul,S Kaul
191,Jason,Behrendorff,J Behrendorff,J Behrendorff
192,Karn,Sharma,K Sharma,K Sharma
193,Suyash,Prabhudessai,,
194,Chama,Milind,,
195,Akash,Deep,,
196,Aneeshwar,Gautam,,
197,Luvnith,Sisodia,,
198,Sanju,Samson,S Samson,S Samson
199,Jos,Buttler,J Buttler,J Buttler
200,Prasidh,Krishna,,
201,Shimron,Hetmyer,S Hetmyer,S Hetmyer
202,Trent,Boult,T Boult,T Boult
203,Devdutt,Padikkal,D Padikkal,D Padikkal
204,Yuzvendra,Chahal,Y Chahal,Y Chahal
205,R.,Ashwin,R Ashwin,R Ashwin
206,Yashaswi,Jaiswal,Y Jaiswal,Y Jaiswal
207,Riyan,Parag,R Parag,R Parag
208,Navdeep,Saini,N Saini,N Saini
209,Nathan,Coulter-Nile,N Coulter-Nile,N Coulter-Nile
210,James,Neesham,J Neesham,J Neesham
211,Karun,Nair,K Nair,K Nair
212,Rassie,Van,,
213,Obed,Mccoy,,
214,Daryl,Mitchell,,
215,K.C,Cariappa,K Cariappa,K Cariappa
216,Anunay,Singh,A Singh,A Singh
217,Anunay,Singh,A Singh,A Singh
218,Kuldeep,Sen,,
219,Dhruv,Jurel,,
220,Tejas,Baroka,T Baroka,T Baroka
221,Kuldip,Yadav,K Yadav,K Yadav
222,Shubham,Garhwal,,
223,Kane,Williamson,K Williamson,K Williamson
224,Nicholas,Pooran,N Pooran,N Pooran
225,Washington,Sundar,W Sundar,W Sundar
226,Rahul,Tripathi,R Tripathi,R Tripathi
227,Romario,Shepherd,,
228,Abhishek,Sharma,A Sharma,A Sharma
229,Abhishek,Sharma,A Sharma,A Sharma
230,Marco,Jansen,,
231,Bhuvneshwar,Kumar,B Kumar,B Kumar
232,T.,Natarajan,T Natarajan,T Natarajan
233,Abdul,Samad,A Samad,A Samad
234,Umran,Malik,,
235,Kartik,Tyagi,K Tyagi,K Tyagi
236,Aiden,Markram,,
237,Sean,Abbott,S Abbott,S Abbott
238,Glenn,Phillips,,
239,Shreyas,Gopal,S Gopal,S Gopal
240,Vishnu,Vinod,V Vinod,V Vinod
241,Fazalhaq,Farooqi,,
242,Priyam,Garg,P Garg,P Garg
243,R,Samarth,,
244,Jagadeesha,Suchith,J Suchith,J Suchith
245,Shashank,Singh,S Singh,S Singh
246,Saurabh,Dubey,,
247,Suresh,Raina,S Raina,S Raina
248,Steve,Smith,S Smith,S Smith
